,GAMEID,TEAM_HOME,TEAM_AWAY,TEAM_ELO_BEFORE_HOME,TEAM_ELO_BEFORE_AWAY,TEAM_ELO_AFTER_HOME,TEAM_ELO_AFTER_AWAY,ODDS_HOME,PROBS_HOME,PROBS_AWAY
140,201311160HOU,HOU,DEN,1515.7584149016732,1498.0858147141328,1523.2983245806754,1490.5459050351305,1.8801023855432983,0.6527901212750249,0.34720987872497505
141,201311160MIN,MIN,BOS,1539.1444162651144,1477.0067901074679,1547.6082362537954,1468.5429701187868,2.4285333140188503,0.7083300909134751,0.2916699090865249
142,201311160NOP,NOP,PHI,1479.232277395758,1468.5946678127343,1497.2594840817983,1450.567461126694,1.805485579133069,0.6435554659635738,0.3564445340364262
143,201311160MIL,MIL,OKC,1462.448145687932,1517.423571427003,1449.4655415698146,1530.4061755451205,1.2375462418562828,0.5530818620443824,0.4469181379556177
144,201311160GSW,GSW,UTA,1543.9988104195647,1417.392513554476,1549.1666694800565,1412.2246544939842,3.519781806822018,0.7787503816023528,0.2212496183976472
145,201311160LAC,LAC,BRK,1539.0668659657833,1476.5553726257,1543.7335134446473,1471.8887251468361,2.4337655162973424,0.7087745231135327,0.29122547688646727
146,201311170TOR,TOR,POR,1493.939927526345,1541.2680992275475,1484.0732063048993,1551.1348204489932,1.2932413157164009,0.5639359917568887,0.43606400824311126
147,201311170SAC,SAC,MEM,1458.5080771829353,1475.0205649010618,1445.3154896466187,1488.2131524373783,1.5442541627241242,0.606957506584443,0.39304249341555697
148,201311170LAL,LAL,DET,1454.7015757745392,1484.489672180847,1466.0501475095691,1473.141100445817,1.4306380084881323,0.5885853851919297,0.4114146148080703
149,201311180BRK,BRK,POR,1471.8887251468361,1551.1348204489932,1461.771815465606,1561.2517301302232,1.0761796159035029,0.5183461043832548,0.4816538956167452
150,201311180CHI,CHI,CHA,1534.9946620875585,1475.553886622008,1538.9567245370781,1471.5918241724883,2.391123119752526,0.7051124466182823,0.2948875533817176
151,201311180OKC,OKC,DEN,1530.4061755451205,1490.5459050351305,1533.3922618904064,1487.5598186898446,2.1362431162413347,0.6811471678259238,0.3188528321740762
152,201311180DAL,DAL,PHI,1526.3336086189015,1450.567461126694,1529.2404252936733,1447.6606444519223,2.6267296039557873,0.7242694909184108,0.27573050908158936
153,201311180UTA,UTA,GSW,1412.2246544939842,1549.1666694800565,1403.577124788276,1557.8141991857647,0.7720491737719501,0.4356815743033705,0.5643184256966296
154,201311180LAC,LAC,MEM,1543.7335134446473,1488.2131524373783,1534.4625784247391,1497.4840874572865,2.337765270437836,0.7003983447077979,0.29960165529220195
155,201311190WAS,WAS,MIN,1469.343785819364,1547.6082362537954,1475.823992204323,1541.1280298688364,1.0822781083936615,0.5197567529673386,0.48024324703266136
156,201311190DET,DET,NYK,1473.141100445817,1454.8260486039233,1478.4205487455572,1449.5466003041831,1.8870683453086754,0.6536278742327164,0.34637212576728366
157,201311190MIA,MIA,ATL,1551.9408061716392,1534.8103101736933,1561.5910120155036,1525.160104329829,1.8742444780717118,0.6520824837172914,0.34791751628270856
158,201311190HOU,HOU,BOS,1523.2983245806754,1468.5429701187868,1534.0215026124908,1457.8197920869713,2.3274930142133927,0.699473448710937,0.30052655128906297
159,201311190SAC,SAC,PHO,1445.3154896466187,1514.2519689320268,1450.8402178406584,1508.7272407379871,1.141980798847078,0.533142407000917,0.4668575929990831
160,201311200CHA,CHA,BRK,1471.5918241724883,1461.771815465606,1476.0788127081953,1457.284826929899,1.797008046518691,0.6424751079123084,0.35752489208769156
161,201311200CLE,CLE,WAS,1462.340169075634,1475.823992204323,1452.1676712664646,1485.9964900134926,1.5714133637096444,0.6111088111647083,0.3888911888352917
162,201311200NYK,NYK,IND,1449.5466003041831,1561.9245633488588,1442.2799861219537,1569.1911775310882,0.8893139245424502,0.47070733613410604,0.5292926638658939
163,201311200ORL,ORL,MIA,1486.710061231309,1561.5910120155036,1466.1211639843668,1582.1799092624458,1.1035642499706364,0.5246163743208894,0.4753836256791106
