,GAMEID,TEAM,ELO,DATE,WHERE_PLAYED,SEASON,D_RTG,GAME_NO,OPP_SCORE,O_RTG,SCORE
225,201311130BOS,CHA,1471.2006939208748,2013-11-13,Away,2014,91.2,8.0,83.0,97.8,89.0
226,201311130ATL,ATL,1519.378892973474,2013-11-13,Home,2014,107.0,8.0,95.0,102.5,91.0
227,201311130ATL,NYK,1470.1215714175125,2013-11-13,Away,2014,102.5,7.0,91.0,107.0,95.0
228,201311130MEM,MEM,1485.3199833651188,2013-11-13,Home,2014,115.7,8.0,103.0,97.7,87.0
229,201311130MEM,TOR,1494.8624111018055,2013-11-13,Away,2014,97.7,9.0,87.0,115.7,103.0
230,201311130MIN,MIN,1533.1003644025616,2013-11-13,Home,2014,101.0,9.0,95.0,131.9,124.0
231,201311130MIN,CLE,1471.8283989802937,2013-11-13,Away,2014,131.9,9.0,124.0,101.0,95.0
232,201311130SAS,SAS,1571.0424977664088,2013-11-13,Home,2014,86.7,9.0,79.0,100.9,92.0
233,201311130SAS,WAS,1486.9883734186271,2013-11-13,Away,2014,100.9,8.0,92.0,86.7,79.0
234,201311130DEN,DEN,1484.139785122424,2013-11-13,Home,2014,102.6,7.0,99.0,115.1,111.0
235,201311130DEN,LAL,1469.6897871072422,2013-11-13,Away,2014,115.1,10.0,111.0,102.6,99.0
236,201311130UTA,UTA,1416.8960314438668,2013-11-13,Home,2014,111.7,9.0,105.0,118.0,111.0
237,201311130UTA,NOP,1486.9060270966575,2013-11-13,Away,2014,118.0,9.0,111.0,111.7,105.0
238,201311130POR,POR,1524.4930395486513,2013-11-13,Home,2014,95.2,8.0,89.0,96.3,90.0
239,201311130POR,PHO,1524.2590370441515,2013-11-13,Away,2014,96.3,8.0,90.0,95.2,89.0
240,201311130SAC,SAC,1454.6956483660865,2013-11-13,Home,2014,89.1,7.0,86.0,110.9,107.0
241,201311130SAC,BRK,1483.7845641000013,2013-11-13,Away,2014,110.9,7.0,107.0,89.1,86.0
242,201311130LAC,LAC,1532.5083553310096,2013-11-13,Home,2014,101.4,9.0,103.0,109.3,111.0
243,201311130LAC,OKC,1526.7065026014466,2013-11-13,Away,2014,109.3,7.0,111.0,101.4,103.0
244,201311140NYK,NYK,1479.2438175770205,2013-11-14,Home,2014,119.7,8.0,109.0,116.4,106.0
245,201311140NYK,HOU,1509.336653655275,2013-11-14,Away,2014,116.4,10.0,106.0,119.7,109.0
246,201311140GSW,GSW,1541.274389879895,2013-11-14,Home,2014,120.7,9.0,115.0,121.7,116.0
247,201311140GSW,OKC,1520.1479919666729,2013-11-14,Away,2014,121.7,8.0,116.0,120.7,115.0
248,201311150IND,IND,1565.3063063496695,2013-11-15,Home,2014,87.6,9.0,77.0,118.3,104.0
249,201311150IND,MIL,1472.106968104399,2013-11-15,Away,2014,118.3,8.0,104.0,87.6,77.0
250,201311150TOR,TOR,1512.0649593709666,2013-11-15,Home,2014,104.1,10.0,96.0,86.8,80.0
